roadName,predictedSpeed,timeStamp
N101.0,73.3,2021-05-15 10:45:56
N101.0,73.3,2021-05-15 11:45:56
N101.0,73.3,2021-05-15 12:45:56
N101.0,73.3,2021-05-15 13:45:56
N101.0,73.3,2021-05-15 14:45:56
N101.0,73.3,2021-05-15 15:45:56
N101.0,73.3,2021-05-15 16:45:56
N101.0,73.3,2021-05-15 17:45:56
N101.0,73.3,2021-05-15 18:45:56
N101.0,73.3,2021-05-15 19:45:56
N101.0,73.3,2021-05-15 20:45:56
N101.0,73.3,2021-05-15 21:45:56
N101.1,63.5,2021-05-15 10:44:51
N101.1,63.4,2021-05-15 11:44:51
N101.1,63.5,2021-05-15 12:44:51
N101.1,63.8,2021-05-15 13:44:51
N101.1,64.1,2021-05-15 14:44:51
N101.1,64.2,2021-05-15 15:44:51
N101.1,64.2,2021-05-15 16:44:51
N101.1,64.3,2021-05-15 17:44:51
N101.1,64.4,2021-05-15 18:44:51
N101.1,64.5,2021-05-15 19:44:51
N101.1,64.5,2021-05-15 20:44:51
N101.1,64.5,2021-05-15 21:44:51
N101.2,86.4,2021-05-15 10:44:56
N101.2,86.4,2021-05-15 11:44:56
N101.2,86.5,2021-05-15 12:44:56
N101.2,86.5,2021-05-15 13:44:56
N101.2,86.5,2021-05-15 14:44:56
N101.2,86.5,2021-05-15 15:44:56
N101.2,86.5,2021-05-15 16:44:56
N101.2,86.5,2021-05-15 17:44:56
N101.2,86.5,2021-05-15 18:44:56
N101.2,86.5,2021-05-15 19:44:56
N101.2,86.5,2021-05-15 20:44:56
N101.2,86.5,2021-05-15 21:44:56
N101.3,40.3,2021-05-15 10:45:01
N101.3,40.0,2021-05-15 11:45:01
N101.3,39.7,2021-05-15 12:45:01
N101.3,39.4,2021-05-15 13:45:01
N101.3,39.1,2021-05-15 14:45:01
N101.3,38.9,2021-05-15 15:45:01
N101.3,38.8,2021-05-15 16:45:01
N101.3,39.2,2021-05-15 17:45:01
N101.3,39.6,2021-05-15 18:45:01
N101.3,39.9,2021-05-15 19:45:01
N101.3,40.1,2021-05-15 20:45:01
N101.3,40.3,2021-05-15 21:45:01
N101.4,74.5,2021-05-15 10:45:06
N101.4,74.5,2021-05-15 11:45:06
N101.4,74.5,2021-05-15 12:45:06
N101.4,74.5,2021-05-15 13:45:06
N101.4,74.5,2021-05-15 14:45:06
N101.4,74.5,2021-05-15 15:45:06
N101.4,74.5,2021-05-15 16:45:06
N101.4,74.5,2021-05-15 17:45:06
N101.4,74.5,2021-05-15 18:45:06
N101.4,74.5,2021-05-15 19:45:06
N101.4,74.5,2021-05-15 20:45:06
N101.4,74.5,2021-05-15 21:45:06
N101.5,74.6,2021-05-15 10:45:11
N101.5,74.6,2021-05-15 11:45:11
N101.5,74.6,2021-05-15 12:45:11
N101.5,74.6,2021-05-15 13:45:11
N101.5,74.6,2021-05-15 14:45:11
N101.5,74.6,2021-05-15 15:45:11
N101.5,74.6,2021-05-15 16:45:11
N101.5,74.6,2021-05-15 17:45:11
N101.5,74.6,2021-05-15 18:45:11
N101.5,74.6,2021-05-15 19:45:11
N101.5,74.6,2021-05-15 20:45:11
N101.5,74.6,2021-05-15 21:45:11
N103.0,39.6,2021-05-15 10:45:41
N103.0,39.4,2021-05-15 11:45:41
N103.0,39.1,2021-05-15 12:45:41
N103.0,38.9,2021-05-15 13:45:41
N103.0,39.0,2021-05-15 14:45:41
N103.0,38.7,2021-05-15 15:45:41
N103.0,38.5,2021-05-15 16:45:41
N103.0,38.2,2021-05-15 17:45:41
N103.0,39.0,2021-05-15 18:45:41
N103.0,40.3,2021-05-15 19:45:41
N103.0,41.2,2021-05-15 20:45:41
N103.0,41.8,2021-05-15 21:45:41
N103.1,64.2,2021-05-15 10:45:46
N103.1,64.2,2021-05-15 11:45:46
N103.1,64.2,2021-05-15 12:45:46
N103.1,64.2,2021-05-15 13:45:46
N103.1,64.2,2021-05-15 14:45:46
N103.1,64.2,2021-05-15 15:45:46
N103.1,64.2,2021-05-15 16:45:46
N103.1,64.2,2021-05-15 17:45:46
N103.1,64.2,2021-05-15 18:45:46
N103.1,64.2,2021-05-15 19:45:46
N103.1,64.2,2021-05-15 20:45:46
N103.1,64.2,2021-05-15 21:45:46
N103.2,46.5,2021-05-15 10:45:51
N103.2,46.4,2021-05-15 11:45:51
N103.2,46.5,2021-05-15 12:45:51
N103.2,46.3,2021-05-15 13:45:51
N103.2,45.8,2021-05-15 14:45:51
N103.2,45.0,2021-05-15 15:45:51
N103.2,43.8,2021-05-15 16:45:51
N103.2,42.8,2021-05-15 17:45:51
N103.2,43.0,2021-05-15 18:45:51
N103.2,45.2,2021-05-15 19:45:51
N103.2,47.5,2021-05-15 20:45:51
N103.2,49.0,2021-05-15 21:45:51
Cent.1,10.7,2021-05-15 10:45:21
Cent.1,10.7,2021-05-15 11:45:21
Cent.1,10.7,2021-05-15 12:45:21
Cent.1,10.7,2021-05-15 13:45:21
Cent.1,10.7,2021-05-15 14:45:21
Cent.1,10.7,2021-05-15 15:45:21
Cent.1,10.7,2021-05-15 16:45:21
Cent.1,10.7,2021-05-15 17:45:21
Cent.1,10.7,2021-05-15 18:45:21
Cent.1,10.7,2021-05-15 19:45:21
Cent.1,10.7,2021-05-15 20:45:21
Cent.1,10.7,2021-05-15 21:45:21
Cent.0,10.1,2021-05-15 10:45:16
Cent.0,10.1,2021-05-15 11:45:16
Cent.0,10.1,2021-05-15 12:45:16
Cent.0,10.1,2021-05-15 13:45:16
Cent.0,10.1,2021-05-15 14:45:16
Cent.0,10.1,2021-05-15 15:45:16
Cent.0,10.1,2021-05-15 16:45:16
Cent.0,10.1,2021-05-15 17:45:16
Cent.0,10.1,2021-05-15 18:45:16
Cent.0,10.1,2021-05-15 19:45:16
Cent.0,10.1,2021-05-15 20:45:16
Cent.0,10.1,2021-05-15 21:45:16
Cent.1,10.7,2021-05-15 10:45:21
Cent.1,10.7,2021-05-15 11:45:21
Cent.1,10.7,2021-05-15 12:45:21
Cent.1,10.7,2021-05-15 13:45:21
Cent.1,10.7,2021-05-15 14:45:21
Cent.1,10.7,2021-05-15 15:45:21
Cent.1,10.7,2021-05-15 16:45:21
Cent.1,10.7,2021-05-15 17:45:21
Cent.1,10.7,2021-05-15 18:45:21
Cent.1,10.7,2021-05-15 19:45:21
Cent.1,10.7,2021-05-15 20:45:21
Cent.1,10.7,2021-05-15 21:45:21
Cent.2,76.3,2021-05-15 10:45:26
Cent.2,76.3,2021-05-15 11:45:26
Cent.2,76.3,2021-05-15 12:45:26
Cent.2,76.3,2021-05-15 13:45:26
Cent.2,76.3,2021-05-15 14:45:26
Cent.2,76.3,2021-05-15 15:45:26
Cent.2,76.3,2021-05-15 16:45:26
Cent.2,76.3,2021-05-15 17:45:26
Cent.2,76.3,2021-05-15 18:45:26
Cent.2,76.3,2021-05-15 19:45:26
Cent.2,76.3,2021-05-15 20:45:26
Cent.2,76.3,2021-05-15 21:45:26
Cent.3,76.3,2021-05-15 10:45:31
Cent.3,76.3,2021-05-15 11:45:31
Cent.3,76.3,2021-05-15 12:45:31
Cent.3,76.3,2021-05-15 13:45:31
Cent.3,76.3,2021-05-15 14:45:31
Cent.3,76.3,2021-05-15 15:45:31
Cent.3,76.3,2021-05-15 16:45:31
Cent.3,76.3,2021-05-15 17:45:31
Cent.3,76.3,2021-05-15 18:45:31
Cent.3,76.3,2021-05-15 19:45:31
Cent.3,76.3,2021-05-15 20:45:31
Cent.3,76.3,2021-05-15 21:45:31
Cent.4,75.2,2021-05-15 10:45:36
Cent.4,75.3,2021-05-15 11:45:36
Cent.4,75.3,2021-05-15 12:45:36
Cent.4,75.3,2021-05-15 13:45:36
Cent.4,75.3,2021-05-15 14:45:36
Cent.4,75.3,2021-05-15 15:45:36
Cent.4,75.3,2021-05-15 16:45:36
Cent.4,75.4,2021-05-15 17:45:36
Cent.4,75.4,2021-05-15 18:45:36
Cent.4,75.4,2021-05-15 19:45:36
Cent.4,75.4,2021-05-15 20:45:36
Cent.4,75.4,2021-05-15 21:45:36
